インターネットオークションサイトにおいて、出品する商品を保有しておらず、また、商品を入手して売るつもりがないのに出品情報を掲載して、落札者に現金を振り込ませた。,×,他人をだまして、金品を奪ったり損害を与えたりすると詐欺罪(刑法246条1項)が成立します。,,検定対策ページを見る
送信元アドレスを偽って、広告メールを送信してはならない。,〇,送信元アドレスを偽って、広告メールを送信すると1年以下の懲役又は100万円以下の罰金に処されます(特定電子メールの送信の適正化等に関する法律34条1号、同法5条),,検定対策ページを見る
株価を意図的に上下させる目的で、インターネット上に虚偽の情報を発信してはならない。,〇,株価を意図的に上下させる目的で、インターネット上に虚偽の情報を発信することは、金融商品取引法で禁止されています(同法158条),,検定対策ページを見る
児童ポルノの動画・映像の製造や販売は禁止されているが、所持することは禁止されていない。,×,児童ポルノは、製造販売のほか、単に所持・保管する行為も禁止されています(児童ポルノ禁止法7条1項)。,,検定対策ページを見る
守秘義務は、退職した後はその義務はない。,×,生涯守秘義務を負う場合もあります。十分注意しましょう。,,検定対策ページを見る
民事事件とは、個人の権利をめぐる個人間のトラブルのことをさし、公正な裁判所で解決を図る。,〇,記述の通りです。裁判所だけでなく、第三者が関与して早期の解決を図る、裁判外紛争解決手続(ADR)もあります。,,検定対策ページを見る
人が、他人の権利ないし利益を違法に侵害する行為を「不法行為」という。,〇,記述の通りです。ある行為によって他人に損害を生じさせた場合の行為を「不法行為」といいます。,,検定対策ページを見る
ネットに書きこんだ内容が、当事者の社会的評価(名誉)を低下させるとしても、その書き込み内容が、名誉毀損の免責要件を満たせば、刑事上は免責される。ただし、民事の免責はないため、双方での話し合いが必要である。,×,民事でも同様に証明できれば、免責となります。,,検定対策ページを見る
あいつは同性愛者だ、とSNSで名指しで投稿した。,×,「同性愛者」に対する偏見が社会にあることにより、当事者の社会的地位が低下するおそれがあり、名誉毀損となります。,,検定対策ページを見る
ふざけて職場の商品陳列棚の上によじ登り、写真を取ってネットに掲載した。,×,信用毀損が発生した場合、会社から訴えられる可能性があります。職場での行動は、たとえ休憩時間中であったとしても、気をつけるべきです。,,検定対策ページを見る
超有名タレントがいたので、自分のスマートフォンで撮影し、有料配信した。,×,超有名タレントですと、写真に経済的な価値があるので、本人の許諾なく配信・販売するとパブリシティ権を侵害する可能性があります。,,検定対策ページを見る
イベントの主催者として、「イベントに登録することで、あなたはイベント時に主催者が撮影した肖像等の動画および画像について、主催者がそれらを公開・非公開問わず、無償で使用することに同意するものとします。」と説明し、後日撮影した写真をホームページに公開した。,〇,イベントの主催者として、撮影した写真に写るそれぞれの被写体に肖像権があります。イベント時の写真をネットに掲載する際は、被写体となっている全員の同意が必要なため、事前に許諾を取っておくことは、適切な措置といえます。,,検定対策ページを見る
個人情報の保護に関する法律は、企業や団体がその活動の中で取得した利用者や消費者の個人情報を、きちんと大切に扱い、有効に活用できるよう共通のルールとして定められた法律である。従ってインターネット上で取得した個人情報もこの法律によって保護されている。,〇,記述の通りです。国・地方公共団体・個人情報取扱事業者等の義務を定めた法律で、インターネット上で取得したデータも保護されています。,,検定対策ページを見る
"1,000件以下の個人情報を個人情報データベース等として所持し事業に用いている個人は、個人情報取扱事業者とされず、刑事上の責任はない。",×,2017年5月30日より改正された法律が施行されましたが、件数に関わらず、また個人であったとしても、個人情報を個人情報データベース等として所持し事業に用いている事業者は個人情報取扱事業者とされ、法的義務が生じます。,,検定対策ページを見る
友人から「A氏に年賀状を出したいから住所を教えて欲しい」と言われ、教えた。,×,個人情報保護法は個人情報収集の目的の明示や、収集の範囲、第三者への提供禁止を求めています.,,検定対策ページを見る
知的財産権は、「独創的なアイデア」や「知的な価値」に対して、財産権を認め、他人に無断で勝手に使われないように保護したものである。,〇,記述の通りです。物材と同様に財産権が認められます。,,検定対策ページを見る
インターネットを利用する上では、知的財産権制度を理解しておく必要はない。,×,インターネットを利用する上では、知的財産権制度を理解しておいたほうが良いでしょう。,,検定対策ページを見る
判例をまるごとネットに掲載した。,〇,著作物は思想又は感情を創作的に表現したものであつて、文芸、学術、美術又は音楽の範囲となっていますので、法律は著作権の対象ではなく、自由に掲載できます。ただし、他人のサイトに掲載されているものについては無断掲載が認められない場合もあります。,,検定対策ページを見る
データベースで購入した新聞記事を社内で共有するためにコピーを配付した。,×,著作物の自由利用は、私的利用や教育目的等に限られています。販売目的でないとしても、これらの利用は著作権法上、別途、許諾を得る必要があります。,,検定対策ページを見る
商標権とは「商品・サービスの名前」、「マーク」や「エンブレム」などに対する知的財産権で、使い始めてから排他的、独占的利用が認められている。,×,「商品・サービスの名前」、「マーク」や「エンブレム」などは、単に使い始めるだけでは不十分で、商標として登録が必要です。登録されたマークやエンブレムは、その権利が保護されます。,,検定対策ページを見る
有名ブランドの商品名と似通っているパロディー商品を作ってみたが、明らかにパロディーと分かるので問題はない。,×,「商標権」を理解しないまま、似たような名前のサービスやマークを利用してしまうと、後々大きな問題となってしまうことがあります,,検定対策ページを見る
視覚的に美観をもたらすデザインに対する知的財産権を「意匠権」という。,〇,記述の通りです。,,検定対策ページを見る
新規の発明に対する知的財産権を「特許権」という。,〇,記述の通りです。すでにあるアイデアを組み合わせて新しい使い方を考案した場合には「実用新案権」という権利で保護されます。,,検定対策ページを見る
「特許権」とは、新規の発明に対する知的財産権で、出願から20年間、特許発明を独占的に利用できるものである。,〇,「特許権」とは、新規の発明に対する知的財産権で、出願から20年間、特許発明を独占的に利用できます。,,検定対策ページを見る
すでにあるアイデアを組み合わせて新しい使い方を考案した「実用新案権」という。,〇,記述の通りです。新規で考案した「発明」に対する権利は「特許権」です。,,検定対策ページを見る
